N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,1,1,1,0.931276,0.0628926054795
100,1,1,2,0.975082,0.0863049203464
100,1,1,3,1.06279,0.102197660932
100,1,2,1,0.979578,0.0500069986702
100,1,3,1,1.079208,0.0969279770551
100,1,2,2,1.048736,0.0794039438819
100,1,3,3,1.276462,0.100816568857
100,4,1,1,0.94279,0.0668700972035
100,4,1,2,0.975236,0.0496601279096
100,4,1,3,1.062424,0.0678399308962
100,4,2,1,0.978156,0.0694893348939
100,4,3,1,1.074542,0.0800216735391
100,4,2,2,1.065068,0.0728533827355
100,4,3,3,1.288812,0.112031302126
100,50,1,1,0.928286,0.0647391396606
100,50,1,2,0.984646,0.0745795191993
100,50,1,3,1.062666,0.0735947718524
100,50,2,1,0.987126,0.0614205024727
100,50,3,1,1.083488,0.129419665646
100,50,2,2,1.047698,0.0709889484075
100,50,3,3,1.25101,0.110952701184
100,100,1,1,0.917408,0.0744249255021
100,100,1,2,0.964672,0.0583926743351
100,100,1,3,1.02428,0.0940548435754
100,100,2,1,0.96706,0.0712461114728
100,100,3,1,1.071114,0.0892074716826
100,100,2,2,1.05707,0.105808813905
100,100,3,3,1.278278,0.119842316049
100,150,1,1,0.934356,0.0744136094004
100,150,1,2,0.977374,0.0500869456445
100,150,1,3,1.06566,0.0726103050538
100,150,2,1,0.98558,0.0725292465148
100,150,3,1,1.085564,0.0853837332517
100,150,2,2,1.05953,0.0744785143515
100,150,3,3,1.27869,0.0962507241531
0,8,1,1,0.0035,0.000519615242271
0,8,1,2,0.00361,0.000953886785735
0,8,1,3,0.003554,0.00104454966373
0,8,2,1,0.003504,0.000744301014375
0,8,3,1,0.003586,0.000920110862886
0,8,2,2,0.003554,0.000975235356209
0,8,3,3,0.003514,0.000633880114848
50,8,1,1,0.942182,0.0642074830218
50,8,1,2,0.916264,0.105120912781
50,8,1,3,0.92592,0.0753424820403
50,8,2,1,0.863506,0.118551802871
50,8,3,1,0.97111,0.1191711622
50,8,2,2,0.926666,0.0783784309871
50,8,3,3,1.13576,0.113205787838
100,8,1,1,0.783644,0.0483199054635
100,8,1,2,0.847864,0.0476739919033
100,8,1,3,0.928758,0.0863793461193
100,8,2,1,0.860946,0.0931180062287
100,8,3,1,0.989288,0.113637780056
100,8,2,2,0.9562,0.0737933059295
100,8,3,3,1.141458,0.117191331744
150,8,1,1,0.807198,0.0442637865077
150,8,1,2,0.876628,0.0457375296228
150,8,1,3,0.954864,0.0766525766299
150,8,2,1,0.883452,0.0722408727522
150,8,3,1,1.012216,0.130211556108
150,8,2,2,0.961336,0.083446480477
150,8,3,3,1.154214,0.10361787589
200,8,1,1,0.816556,0.0500380141892
200,8,1,2,0.873446,0.0525672814971
200,8,1,3,0.9534,0.090987911285
200,8,2,1,0.877124,0.0722138534078
200,8,3,1,1.00326,0.121678956274
200,8,2,2,0.94758,0.068946904209
200,8,3,3,1.134534,0.0971410770169
250,8,1,1,0.802226,0.045790554965
250,8,1,2,0.878284,0.0489421632542
250,8,1,3,0.958342,0.0562011835818
250,8,2,1,0.881292,0.0564664036043
250,8,3,1,1.013982,0.141251483801
250,8,2,2,0.964762,0.0769132846523
250,8,3,3,1.153424,0.121123144873
300,8,1,1,0.815588,0.0454367060426
300,8,1,2,0.882266,0.0441739656812
300,8,1,3,0.968314,0.0580070633975
300,8,2,1,0.879726,0.0660474899145
300,8,3,1,1.001454,0.112817480401
300,8,2,2,0.963326,0.0758724437724
300,8,3,3,1.146166,0.0864079073002
350,8,1,1,0.811112,0.0434058919503
350,8,1,2,0.878084,0.0431816737054
350,8,1,3,0.967458,0.0992852871074
350,8,2,1,0.87799,0.0557808739623
350,8,3,1,1.007534,0.114172399659
350,8,2,2,0.97137,0.0993757369784
350,8,3,3,1.148388,0.0992665575912
398,8,1,1,0.800952,0.049932571494
398,8,1,2,0.8771,0.070158492002
398,8,1,3,0.949724,0.0588197570889
398,8,2,1,0.873216,0.0716633333302
398,8,3,1,1.000646,0.123887645405
398,8,2,2,0.948284,0.0987973448226
398,8,3,3,1.13311,0.0985763759732
150,8,1,1,0.79786,0.0475099189644
150,8,2,1,0.876412,0.0727289918533
150,8,3,1,0.994686,0.100094712168
150,8,4,1,1.128592,0.148856083302
150,8,5,1,1.21931,0.151772283043
150,8,10,1,1.840832,0.202745860071
150,8,15,1,2.415582,0.232032754748
150,8,20,1,3.037598,0.228480056889
150,8,25,1,3.64074,0.284098744101
150,8,30,1,4.237936,0.256290842412
150,8,35,1,4.87779,0.326734947473
150,8,40,1,5.493834,0.408517806765
150,8,45,1,6.044322,0.398988253356
150,8,50,1,6.688666,0.438471452257
150,8,55,1,7.273702,0.423102078931
150,8,1,1,0.796494,0.0493169541233
150,8,1,2,0.862106,0.0495794590935
150,8,1,3,0.938522,0.0633733817624
150,8,1,4,1.019144,0.0835106655703
150,8,1,5,1.090514,0.0727978969751
150,8,1,10,1.610442,0.226532060945
150,8,1,15,2.06078,0.309337219875
150,8,1,20,2.538902,0.433113833069
150,8,1,25,3.254426,0.524148223811
150,8,1,30,3.761912,0.541260621379
150,8,1,35,4.419896,0.600541126971
150,8,1,40,5.006972,0.758074710841
150,8,1,45,5.615494,0.81176233835
150,8,1,50,6.224226,0.891717660991
150,8,1,55,6.745644,0.880989258314
100,8,0,1,0.004416,0.00193983092047
100,8,-1,2,0.004264,0.00109101054074
100,8,0,0,0.004286,0.00115594290516
100,8,1,0,0.004268,0.000777287591564
100,8,1,-1,0.004284,0.00134586180568
