N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,1,1,1,4.7417,0.115382728344
100,1,1,2,4.787622,0.0337105786957
100,1,1,3,4.83834,0.0622076554774
100,1,2,1,4.775944,0.0438096435046
100,1,3,1,4.779226,0.0702461594964
100,1,2,2,2.558868,0.0632119496298
100,1,3,3,1.949316,0.16476729088
100,4,1,1,4.700166,0.0339995065258
100,4,1,2,4.79495,0.0437074307184
100,4,1,3,4.804844,0.0456814586457
100,4,2,1,4.767194,0.0335282621679
100,4,3,1,4.780712,0.0520189682328
100,4,2,2,2.51709,0.0384322507798
100,4,3,3,1.905902,0.178917009801
100,50,1,1,4.688242,0.0286320002096
100,50,1,2,4.785994,0.022950249759
100,50,1,3,4.81493,0.0642980956172
100,50,2,1,4.674018,0.033236029787
100,50,3,1,4.701776,0.0636646984129
100,50,2,2,2.582134,0.117532719036
100,50,3,3,1.937642,0.281279117312
100,100,1,1,4.695312,0.0251185719339
100,100,1,2,4.790584,0.0328182714962
100,100,1,3,4.812158,0.0535605921924
100,100,2,1,4.659762,0.0204901282573
100,100,3,1,4.703308,0.322321381754
100,100,2,2,3.365514,0.814322902665
100,100,3,3,2.169022,0.463916136296
100,150,1,1,4.6965,0.0444586324576
100,150,1,2,4.794114,0.0457154350739
100,150,1,3,4.808592,0.0572880575338
100,150,2,1,4.67007,0.0195923735162
100,150,3,1,4.674052,0.0529906529116
100,150,2,2,2.520794,0.0498838607568
100,150,3,3,1.952878,0.310679743653
0,8,1,1,0.007242,0.000695295620582
0,8,1,2,0.007218,0.000571380783716
0,8,1,3,0.007216,0.000630352282458
0,8,2,1,0.007208,0.000498734398252
0,8,3,1,0.007254,0.000643027215598
0,8,2,2,0.007286,0.000669480395531
0,8,3,3,0.007348,0.000924605861976
50,8,1,1,3.611572,0.115894731615
50,8,1,2,3.709974,0.0603511501465
50,8,1,3,2.57544,0.0701457796307
50,8,2,1,2.508674,0.0303893356953
50,8,3,1,2.520664,0.0503827659423
50,8,2,2,1.41839,0.0441600939763
50,8,3,3,1.134238,0.141202908454
100,8,1,1,4.658914,0.0657105669128
100,8,1,2,4.792578,0.0320400985641
100,8,1,3,4.80734,0.0524984228335
100,8,2,1,4.748676,0.0343618833011
100,8,3,1,4.76051,0.0446017701442
